Issue Name,Link,Effort (1-5),Dependencies,Assignees,Brief Description,Start Date,End Date
"Automated ERC20 Allowance-Based Deposits and Batch Account Abstraction","https://github.com/BreadchainCoop/saving-circles/issues/39",4,"None","","Implement automated deposit functions leveraging ERC20 allowances for programmatic deposits and batch operations for DAOs/automated agents","2025-10-01","2025-10-08"
"Adapt circle creation flow: start off-chain with email, then move on-chain","https://github.com/BreadchainCoop/saving-circles/issues/37",3,"Repository rebranding complete","@Copilot","Allow users to create circles and add members off-chain initially with email addresses, then transition to on-chain after group formation","2025-10-15","2025-10-22"
"Fuzz & Invariant Testing","https://github.com/BreadchainCoop/saving-circles/issues/20",3,"Merge from upstream solidity-foundry-boilerplate","@RonTuretzky @bagelface","Implement comprehensive fuzz and invariant testing to ensure contract robustness and security","2025-11-01","2025-11-08"
"Token allowlist deployment handling","https://github.com/BreadchainCoop/saving-circles/issues/19",2,"Repository setup fixes","@RonTuretzky @bagelface","Add tokens to initializer and update deploy utils or create function accepting array of addresses and config JSON","2025-10-09","2025-10-11"
"Using multiple if-revert statements for gas optimization","https://github.com/BreadchainCoop/saving-circles/issues/13",2,"None","@daopunk @RonTuretzky @bagelface","Optimize gas usage by using multiple if-revert statements instead of single statements with && / || operators","2025-10-22","2025-10-24"
"Add Gelato Automation","https://github.com/BreadchainCoop/saving-circles/issues/8",3,"Automated deposits implementation","@bagelface","Integrate Gelato automation for automated deposits, withdrawals, and circle management with view functions for eligible addresses","2025-11-15","2025-11-22"
"Fix deposit feature & enable reliable access to Circle details","https://github.com/BreadchainCoop/saving-circles-frontend/issues/1",4,"Repository rebranding, backend contract fixes","","Fix critical deposit functionality and ensure reliable access to Circle details in the frontend application","2025-10-01","2025-10-08"
"Repository Rebranding (Saving Circles → Stacks)","-",2,"None","","Rebrand all 'Saving Circles' references to 'Stacks' across both repositories and update documentation","2025-10-01","2025-10-03"
"Critical Code Review Findings - Repository Setup","-",2,"Repository rebranding","","Fix wrong package names, repo URLs, missing OpenZeppelin dependencies, and hardcoded addresses","2025-10-03","2025-10-05"
"Security & Technical Debt Resolution","-",4,"Repository setup fixes","","Fix dependency versioning, add emergency functions, implement member management, add fee structure, expand wallet support","2025-10-09","2025-10-16"
"Missing Features & Testing Implementation","-",3,"Frontend deposit fix","","Implement frontend tests, fix coverage, add circle dashboard, payment history, notifications, and mobile optimization","2025-10-16","2025-10-23"
"Smart Contract Security Audit","-",4,"Fuzz testing complete, all security fixes","","Complete comprehensive security audit of smart contracts before mainnet deployment","2025-11-09","2025-11-16"
"Testnet Deployment & Beta Testing","-",3,"Security audit complete","","Deploy contracts to testnet and conduct thorough beta testing with real users","2025-11-17","2025-11-24"
"CI/CD & Deployment Infrastructure","-",3,"Repository setup complete","","Implement automated CI/CD pipeline, upgrade safety validation, and decentralized frontend deployment","2025-10-24","2025-10-31"
"Production Deployment","-",3,"All testing complete, infrastructure ready","","Deploy smart contracts to mainnet and launch production frontend via decentralized infrastructure","2025-11-25","2025-12-02"
"User Onboarding & Documentation","-",2,"Production deployment complete","","Create user support documentation and onboarding materials for first users","2025-12-02","2025-12-05"
"V2 Architecture Planning","-",3,"V1 launched successfully","","Design and document v2 architecture and smart contract specifications for future development","2025-12-05","2025-12-15"
